Ort,PLZ,Gemeindename,Kanton,Sprache
Le Châtelard-près-Romont,1689,Le Châtelard,FR,fr
Villaz-St-Pierre,1690,Villaz-Saint-Pierre,FR,fr
Lussy FR,1690,La Folliaz,FR,fr
Villarimboud,1691,La Folliaz,FR,fr
Massonnens,1692,Massonnens,FR,fr
Villarsiviriaux,1694,Villorsonnens,FR,fr
Villargiroud,1694,Villorsonnens,FR,fr
Orsonnens,1694,Villorsonnens,FR,fr
Chavannes-sous-Orsonnens,1694,Villorsonnens,FR,fr
Villarlod,1695,Gibloux,FR,fr
Rueyres-St-Laurent,1695,Gibloux,FR,fr
Estavayer-le-Gibloux,1695,Gibloux,FR,fr
Villarsel-le-Gibloux,1695,Gibloux,FR,fr
Vuisternens-en-Ogoz,1696,Gibloux,FR,fr
La Joux FR,1697,Vuisternens-devant-Romont,FR,fr
Les Ecasseys,1697,Vuisternens-devant-Romont,FR,fr
Porsel,1699,Le Flon,FR,fr
Pont (Veveyse),1699,Le Flon,FR,fr
Bouloz,1699,Le Flon,FR,fr
Fribourg,1700,Fribourg,FR,fr
Tafers,1712,Tafers,FR,de
St. Antoni,1713,St. Antoni,FR,de
Heitenried,1714,Heitenried,FR,de
Alterswil FR,1715,Alterswil,FR,de
Plaffeien,1716,Plaffeien,FR,de
Oberschrot,1716,Plaffeien,FR,de
Schwarzsee,1716,Plaffeien,FR,de
St. Ursen,1717,St. Ursen,FR,de
Rechthalten,1718,Rechthalten,FR,de
Brünisried,1719,Brünisried,FR,de
Zumholz,1719,Plaffeien,FR,de
Corminboeuf,1720,Corminboeuf,FR,fr
Chésopelloz,1720,Corminboeuf,FR,fr
Misery,1721,Misery-Courtion,FR,fr
Cormérod,1721,Misery-Courtion,FR,fr
Courtion,1721,Misery-Courtion,FR,fr
Cournillens,1721,Misery-Courtion,FR,fr
Bourguillon,1722,Fribourg,FR,fr
Marly,1723,Marly,FR,fr
Pierrafortscha,1723,Pierrafortscha,FR,fr
Villarsel-sur-Marly,1723,Villarsel-sur-Marly,FR,fr
Ferpicloz,1724,Ferpicloz,FR,fr
Le Mouret,1724,Le Mouret,FR,fr
Essert FR,1724,Le Mouret,FR,fr
Montévraz,1724,Le Mouret,FR,fr
Oberried FR,1724,Le Mouret,FR,fr
Zénauva,1724,Le Mouret,FR,fr
Bonnefontaine,1724,Le Mouret,FR,fr
Senèdes,1724,Senèdes,FR,fr
Posieux,1725,Hauterive (FR),FR,fr
Farvagny-le-Grand,1726,Gibloux,FR,fr
Farvagny-le-Petit,1726,Gibloux,FR,fr
Grenilles,1726,Gibloux,FR,fr
Posat,1726,Gibloux,FR,fr
Corpataux,1727,Gibloux,FR,fr
Magnedens,1727,Gibloux,FR,fr
Rossens FR,1728,Gibloux,FR,fr
Ecuvillens,1730,Hauterive (FR),FR,fr
Ependes FR,1731,Ependes (FR),FR,fr
Arconciel,1732,Arconciel,FR,fr
Treyvaux,1733,Treyvaux,FR,fr
Tentlingen,1734,Tentlingen,FR,de
Giffers,1735,Giffers,FR,de
St. Silvester,1736,St. Silvester,FR,de
Plasselb,1737,Plasselb,FR,fr
Sangernboden,1738,Guggisberg,BE,de
Neyruz,1740,Neyruz (FR),FR,fr
Cottens FR,1741,Cottens (FR),FR,fr
Autigny,1742,Autigny,FR,fr
Chénens,1744,Chénens,FR,fr
Lentigny,1745,La Brillaz,FR,fr
Prez-vers-Noréaz,1746,Prez-vers-Noréaz,FR,fr
Corserey,1747,Corserey,FR,fr
Torny-le-Grand,1748,Torny,FR,fr
Middes,1749,Torny,FR,fr
Villars-sur-Glâne,1752,Villars-sur-Glâne,FR,fr
Matran,1753,Matran,FR,fr
Corjolens,1754,Avry,FR,fr
Avry-sur-Matran,1754,Avry,FR,fr
Onnens FR,1756,La Brillaz,FR,fr
Lovens,1756,La Brillaz,FR,fr
Noréaz,1757,Noréaz,FR,fr
Givisiez,1762,Givisiez,FR,fr
Granges-Paccot,1763,Granges-Paccot,FR,fr
Grolley,1772,Grolley,FR,fr
Nierlet-les-Bois,1772,Ponthaux,FR,fr
Ponthaux,1772,Ponthaux,FR,fr
Léchelles,1773,Belmont-Broye,FR,fr
Chandon,1773,Belmont-Broye,FR,fr
Russy,1773,Belmont-Broye,FR,fr
Cousset,1774,Montagny (FR),FR,fr
Cousset,1774,Montagny (FR),FR,fr
Montagny-les-Monts,1774,Montagny (FR),FR,fr
Mannens,1775,Montagny (FR),FR,fr
Grandsivaz,1775,Montagny (FR),FR,fr
Montagny-la-Ville,1776,Montagny (FR),FR,fr
Belfaux,1782,Belfaux,FR,fr
Autafond,1782,Belfaux,FR,fr
Lossy,1782,La Sonnaz,FR,fr
La Corbaz,1782,La Sonnaz,FR,fr
Cormagens,1782,La Sonnaz,FR,fr
Formangueires,1782,La Sonnaz,FR,fr
Pensier,1783,Courtepin,FR,fr
Barberêche,1783,Courtepin,FR,fr
Courtepin,1784,Courtepin,FR,fr
Wallenried,1784,Courtepin,FR,fr
Cressier FR,1785,Cressier (FR),FR,fr
Sugiez,1786,Mont-Vully,FR,fr
Môtier (Vully),1787,Mont-Vully,FR,fr
Mur (Vully) FR,1787,Mont-Vully,FR,fr
Mur (Vully) VD,1787,Vully-les-Lacs,VD,fr
Praz (Vully),1788,Mont-Vully,FR,fr
Lugnorre,1789,Mont-Vully,FR,fr
Courtaman,1791,Courtepin,FR,fr
Cordast,1792,Gurmels,FR,de
Guschelmuth,1792,Gurmels,FR,de
Jeuss,1793,Murten,FR,de
Salvenach,1794,Murten,FR,de
Courlevon,1795,Murten,FR,de
Courgevaux,1796,Courgevaux,FR,de
Münchenwiler,1797,Münchenwiler,BE,de
Vevey,1800,Vevey,VD,fr
Le Mont-Pèlerin,1801,Chardonne,VD,fr
Corseaux,1802,Corseaux,VD,fr
Chardonne,1803,Chardonne,VD,fr
Corsier-sur-Vevey,1804,Corsier-sur-Vevey,VD,fr
Jongny,1805,Jongny,VD,fr
St-Légier-La Chiésaz,1806,Saint-Légier-La Chiésaz,VD,fr
Blonay,1807,Blonay,VD,fr
Les Monts-de-Corsier,1808,Corsier-sur-Vevey,VD,fr
Fenil-sur-Corsier,1809,Corsier-sur-Vevey,VD,fr
La Tour-de-Peilz,1814,La Tour-de-Peilz,VD,fr
Clarens,1815,Montreux,VD,fr
Chailly-Montreux,1816,Montreux,VD,fr
Brent,1817,Montreux,VD,fr
Montreux,1820,Montreux,VD,fr
Territet,1820,Montreux,VD,fr
Veytaux,1820,Veytaux,VD,fr
Chernex,1822,Montreux,VD,fr
Glion,1823,Montreux,VD,fr
Caux,1824,Montreux,VD,fr
Chamby,1832,Montreux,VD,fr
Villard-sur-Chamby,1832,Montreux,VD,fr
Les Avants,1833,Montreux,VD,fr
Villeneuve VD,1844,Villeneuve (VD),VD,fr
Noville,1845,Noville,VD,fr
Chessel,1846,Chessel,VD,fr
Rennaz,1847,Rennaz,VD,fr
Roche VD,1852,Roche (VD),VD,fr
Yvorne,1853,Yvorne,VD,fr
Leysin,1854,Leysin,VD,fr
Corbeyrier,1856,Corbeyrier,VD,fr
Aigle,1860,Aigle,VD,fr
Les Mosses,1862,Ormont-Dessous,VD,fr
La Comballaz,1862,Ormont-Dessous,VD,fr
Le Sépey,1863,Ormont-Dessous,VD,fr
Vers-l'Eglise,1864,Ormont-Dessus,VD,fr
Les Diablerets,1865,Ormont-Dessus,VD,fr
La Forclaz VD,1866,Ormont-Dessous,VD,fr
Ollon VD,1867,Ollon,VD,fr
St-Triphon,1867,Ollon,VD,fr
Panex,1867,Ollon,VD,fr
Collombey,1868,Collombey-Muraz,VS,fr
Collombey,1868,Collombey-Muraz,VS,fr
Massongex,1869,Massongex,VS,fr
Monthey,1870,Monthey,VS,fr
Monthey,1870,Monthey,VS,fr
Choëx,1871,Monthey,VS,fr
Les Giettes,1871,Monthey,VS,fr
Troistorrents,1872,Troistorrents,VS,fr
Val-d'Illiez,1873,Val-d'Illiez,VS,fr
Champoussin,1873,Val-d'Illiez,VS,fr
Les Crosets,1873,Val-d'Illiez,VS,fr
Champéry,1874,Champéry,VS,fr
Morgins,1875,Troistorrents,VS,fr
Bex,1880,Bex,VD,fr
Frenières-sur-Bex,1880,Bex,VD,fr
Fenalet-sur-Bex,1880,Bex,VD,fr
Les Plans-sur-Bex,1880,Bex,VD,fr
Les Posses-sur-Bex,1880,Bex,VD,fr
Gryon,1882,Gryon,VD,fr
Villars-sur-Ollon,1884,Ollon,VD,fr
Arveyes,1884,Ollon,VD,fr
Huémoz,1884,Ollon,VD,fr
Chesières,1885,Ollon,VD,fr
St-Maurice,1890,Saint-Maurice,VS,fr
Mex VS,1890,Saint-Maurice,VS,fr
Vérossaz,1891,Vérossaz,VS,fr
Lavey-Village,1892,Lavey-Morcles,VD,fr
Lavey-les-Bains,1892,Lavey-Morcles,VD,fr
Morcles,1892,Lavey-Morcles,VD,fr
Muraz (Collombey),1893,Collombey-Muraz,VS,fr
Vionnaz,1895,Vionnaz,VS,fr
Vouvry,1896,Vouvry,VS,fr
Miex,1896,Vouvry,VS,fr
Bouveret,1897,Port-Valais,VS,fr
Les Evouettes,1897,Port-Valais,VS,fr
St-Gingolph,1898,Saint-Gingolph,VS,fr
Torgon,1899,Vionnaz,VS,fr
Evionnaz,1902,Evionnaz,VS,fr
Collonges,1903,Collonges,VS,fr
Vernayaz,1904,Vernayaz,VS,fr
Dorénaz,1905,Dorénaz,VS,fr
Charrat,1906,Charrat,VS,fr
Saxon,1907,Saxon,VS,fr
Riddes,1908,Riddes,VS,fr
Mayens-de-Chamoson,1911,Chamoson,VS,fr
Ovronnaz,1911,Leytron,VS,fr
Leytron,1912,Leytron,VS,fr
Produit (Leytron),1912,Leytron,VS,fr
Montagnon (Leytron),1912,Leytron,VS,fr
Dugny (Leytron),1912,Leytron,VS,fr
Saillon,1913,Saillon,VS,fr
Isérables,1914,Isérables,VS,fr
Auddes-sur-Riddes,1914,Riddes,VS,fr
La Tzoumaz,1918,Riddes,VS,fr
Martigny,1920,Martigny,VS,fr
Martigny-Croix,1921,Martigny-Combe,VS,fr
Salvan,1922,Salvan,VS,fr
Les Granges (Salvan),1922,Salvan,VS,fr
Les Marécottes,1923,Salvan,VS,fr
Le Trétien,1923,Salvan,VS,fr
Finhaut,1925,Finhaut,VS,fr
Le Châtelard VS,1925,Finhaut,VS,fr
Fully,1926,Fully,VS,fr
Chemin-Dessus,1927,Vollèges,VS,fr
Ravoire,1928,Martigny-Combe,VS,fr
Trient,1929,Trient,VS,fr
Bovernier,1932,Bovernier,VS,fr
Les Valettes (Bovernier),1932,Bovernier,VS,fr
Sembrancher,1933,Sembrancher,VS,fr
Chamoille (Sembrancher),1933,Sembrancher,VS,fr
La Garde (Sembrancher),1933,Sembrancher,VS,fr
Vens (Sembrancher),1933,Vollèges,VS,fr
Le Châble VS,1934,Bagnes,VS,fr
Bruson,1934,Bagnes,VS,fr
Verbier,1936,Bagnes,VS,fr
Orsières,1937,Orsières,VS,fr
Champex-Lac,1938,Orsières,VS,fr
Vollèges,1941,Vollèges,VS,fr
Cries (Vollèges),1941,Vollèges,VS,fr
Levron,1942,Vollèges,VS,fr
Praz-de-Fort,1943,Orsières,VS,fr
La Fouly,1944,Orsières,VS,fr
Liddes,1945,Liddes,VS,fr
Fontaine Dessus (Liddes),1945,Liddes,VS,fr
Fontaine Dessous (Liddes),1945,Liddes,VS,fr
Dranse (Liddes),1945,Liddes,VS,fr
Chandonne (Liddes),1945,Liddes,VS,fr
Rive Haute (Liddes),1945,Liddes,VS,fr
Fornex (Liddes),1945,Liddes,VS,fr
Les Moulins VS (Liddes),1945,Liddes,VS,fr
Vichères (Liddes),1945,Liddes,VS,fr
Palasuit (Liddes),1945,Liddes,VS,fr
Chez Petit (Liddes),1945,Liddes,VS,fr
Petit Vichères (Liddes),1945,Liddes,VS,fr
Bourg-St-Pierre,1946,Bourg-Saint-Pierre,VS,fr
Versegères,1947,Bagnes,VS,fr
Champsec,1947,Bagnes,VS,fr
Lourtier,1948,Bagnes,VS,fr
Fionnay,1948,Bagnes,VS,fr
Sarreyer,1948,Bagnes,VS,fr
Sion,1950,Sion,VS,fr
Chamoson,1955,Chamoson,VS,fr
Les Vérines (Chamoson),1955,Chamoson,VS,fr
Némiaz (Chamoson),1955,Chamoson,VS,fr
Grugnay (Chamoson),1955,Chamoson,VS,fr
St-Pierre-de-Clages,1955,Chamoson,VS,fr
Ardon,1957,Ardon,VS,fr
St-Léonard,1958,Saint-Léonard,VS,fr
Uvrier,1958,Sion,VS,fr
Vernamiège,1961,Mont-Noble,VS,fr
Pont-de-la-Morge (Sion),1962,Sion,VS,fr
Vétroz,1963,Vétroz,VS,fr
Conthey,1964,Conthey,VS,fr
Savièse,1965,Savièse,VS,fr
Fortunau (Ayent),1966,Ayent,VS,fr
Luc (Ayent),1966,Ayent,VS,fr
St-Romain (Ayent),1966,Ayent,VS,fr
Saxonne (Ayent),1966,Ayent,VS,fr
Villa (Ayent),1966,Ayent,VS,fr
La Place (Ayent),1966,Ayent,VS,fr
Botyre (Ayent),1966,Ayent,VS,fr
Blignou (Ayent),1966,Ayent,VS,fr
Argnou (Ayent),1966,Ayent,VS,fr
Signèse (Ayent),1966,Ayent,VS,fr
Bramois,1967,Sion,VS,fr
Mase,1968,Mont-Noble,VS,fr
St-Martin VS,1969,Saint-Martin (VS),VS,fr
Liez (St-Martin),1969,Saint-Martin (VS),VS,fr
Trogne (St-Martin),1969,Saint-Martin (VS),VS,fr
Suen (St-Martin),1969,Saint-Martin (VS),VS,fr
Eison (St-Martin),1969,Saint-Martin (VS),VS,fr
Grimisuat,1971,Grimisuat,VS,fr
Champlan (Grimisuat),1971,Grimisuat,VS,fr
Anzère,1972,Ayent,VS,fr
Nax,1973,Mont-Noble,VS,fr
Arbaz,1974,Arbaz,VS,fr
St-Séverin,1975,Conthey,VS,fr
Erde,1976,Conthey,VS,fr
Aven,1976,Conthey,VS,fr
Daillon,1976,Conthey,VS,fr
Icogne,1977,Icogne,VS,fr
Lens,1978,Lens,VS,fr
Vex,1981,Vex,VS,fr
Euseigne,1982,Hérémence,VS,fr
Evolène,1983,Evolène,VS,fr
Lannaz,1983,Evolène,VS,fr
Les Haudères,1984,Evolène,VS,fr
La Tour VS,1984,Evolène,VS,fr
La Sage,1985,Evolène,VS,fr
La Forclaz VS,1985,Evolène,VS,fr
Villa (Evolène),1985,Evolène,VS,fr
Arolla,1986,Evolène,VS,fr
Hérémence,1987,Hérémence,VS,fr
Thyon,1988,Vex,VS,fr
Les Collons,1988,Vex,VS,fr
Salins,1991,Sion,VS,fr
Arvillard (Salins),1991,Sion,VS,fr
Pravidondaz (Salins),1991,Sion,VS,fr
Turin (Salins),1991,Sion,VS,fr
Misériez (Salins),1991,Sion,VS,fr
Les Agettes,1992,Sion,VS,fr
Les Mayens-de-Sion,1992,Sion,VS,fr
La Vernaz (Les Agettes),1992,Sion,VS,fr
Crête-à-l'Oeil (Les Agettes),1992,Sion,VS,fr
Clèbes (Nendaz),1993,Nendaz,VS,fr
Veysonnaz,1993,Veysonnaz,VS,fr
Aproz (Nendaz),1994,Nendaz,VS,fr
Basse-Nendaz,1996,Nendaz,VS,fr
Fey (Nendaz),1996,Nendaz,VS,fr
Bieudron (Nendaz),1996,Nendaz,VS,fr
Condémines (Nendaz),1996,Nendaz,VS,fr
Saclentse,1996,Nendaz,VS,fr
Baar (Nendaz),1996,Nendaz,VS,fr
Beuson (Nendaz),1996,Nendaz,VS,fr
Brignon (Nendaz),1996,Nendaz,VS,fr
Haute-Nendaz,1997,Nendaz,VS,fr
Siviez (Nendaz),1997,Nendaz,VS,fr
Sornard (Nendaz),1997,Nendaz,VS,fr
Neuchâtel,2000,Neuchâtel,NE,fr
Auvernier,2012,Milvignes,NE,fr
Colombier NE,2013,Milvignes,NE,fr
Bôle,2014,Milvignes,NE,fr
Areuse,2015,Boudry,NE,fr
Cortaillod,2016,Cortaillod,NE,fr
Boudry,2017,Boudry,NE,fr
Rochefort,2019,Rochefort,NE,fr
Chambrelien,2019,Rochefort,NE,fr
Bevaix,2022,La Grande Béroche,NE,fr
Gorgier,2023,La Grande Béroche,NE,fr
St-Aubin-Sauges,2024,La Grande Béroche,NE,fr
St-Aubin-Sauges,2024,La Grande Béroche,NE,fr
Chez-le-Bart,2025,La Grande Béroche,NE,fr
Montalchez,2027,La Grande Béroche,NE,fr
Fresens,2027,La Grande Béroche,NE,fr
Vaumarcus,2028,La Grande Béroche,NE,fr
Peseux,2034,Peseux,NE,fr
Corcelles NE,2035,Corcelles-Cormondrèche,NE,fr
Cormondrèche,2036,Corcelles-Cormondrèche,NE,fr
Montezillon,2037,Rochefort,NE,fr
Montmollin,2037,Val-de-Ruz,NE,fr
Valangin,2042,Valangin,NE,fr
Boudevilliers,2043,Val-de-Ruz,NE,fr
Fontaines NE,2046,Val-de-Ruz,NE,fr
Fontainemelon,2052,Val-de-Ruz,NE,fr
La Vue-des-Alpes,2052,Val-de-Ruz,NE,fr
Cernier,2053,Val-de-Ruz,NE,fr
Chézard-St-Martin,2054,Val-de-Ruz,NE,fr
Les Vieux-Prés,2054,Val-de-Ruz,NE,fr
Dombresson,2056,Val-de-Ruz,NE,fr
Villiers,2057,Val-de-Ruz,NE,fr
Le Pâquier NE,2058,Val-de-Ruz,NE,fr
Vilars NE,2063,Val-de-Ruz,NE,fr
Engollon,2063,Val-de-Ruz,NE,fr
Fenin,2063,Val-de-Ruz,NE,fr
Saules,2063,Val-de-Ruz,NE,fr
Savagnier,2065,Val-de-Ruz,NE,fr
Chaumont,2067,Neuchâtel,NE,fr
Hauterive NE,2068,Hauterive (NE),NE,fr
St-Blaise,2072,Saint-Blaise,NE,fr
Enges,2073,Enges,NE,fr
Marin-Epagnier,2074,La Tène,NE,fr
Thielle,2075,La Tène,NE,fr
Wavre,2075,La Tène,NE,fr
Cornaux,2087,Cornaux,NE,fr
Cressier NE,2088,Cressier (NE),NE,fr
Noiraigue,2103,Val-de-Travers,NE,fr
Travers,2105,Val-de-Travers,NE,fr
Couvet,2108,Val-de-Travers,NE,fr
Môtiers NE,2112,Val-de-Travers,NE,fr
Boveresse,2113,Val-de-Travers,NE,fr
Fleurier,2114,Val-de-Travers,NE,fr
Buttes,2115,Val-de-Travers,NE,fr
Mont-de-Buttes,2116,Val-de-Travers,NE,fr
La Côte-aux-Fées,2117,La Côte-aux-Fées,NE,fr
St-Sulpice NE,2123,Val-de-Travers,NE,fr
Les Sagnettes,2124,Val-de-Travers,NE,fr
Les Verrières,2126,Les Verrières,NE,fr
Les Bayards,2127,Val-de-Travers,NE,fr
Champ-du-Moulin,2149,Rochefort,NE,fr
Fretereules,2149,Rochefort,NE,fr
Brot-Dessous,2149,Rochefort,NE,fr
Les Geneveys-sur-Coffrane,2206,Val-de-Ruz,NE,fr
Coffrane,2207,Val-de-Ruz,NE,fr
Les Hauts-Geneveys,2208,Val-de-Ruz,NE,fr
La Chaux-de-Fonds,2300,La Chaux-de-Fonds,NE,fr
La Cibourg,2300,La Chaux-de-Fonds,NE,fr
La Sagne,2314,La Sagne,NE,fr
Les Ponts-de-Martel,2316,Les Ponts-de-Martel,NE,fr
Petit-Martel,2316,Les Ponts-de-Martel,NE,fr
Brot-Plamboz,2318,Brot-Plamboz,NE,fr
Le Crêt-du-Locle,2322,La Chaux-de-Fonds,NE,fr
Les Planchettes,2325,Les Planchettes,NE,fr
La Ferrière,2333,La Ferrière,BE,fr
La Cibourg,2333,La Chaux-de-Fonds,NE,fr
Les Bois,2336,Les Bois,JU,fr
Les Emibois,2338,Muriaux,JU,fr
Muriaux,2338,Muriaux,JU,fr
Le Noirmont,2340,Le Noirmont,JU,fr
Les Breuleux,2345,Les Breuleux,JU,fr
La Chaux-des-Breuleux,2345,La Chaux-des-Breuleux,JU,fr
Le Cerneux-Veusil,2345,Muriaux,JU,fr
Saignelégier,2350,Saignelégier,JU,fr
Les Pommerats,2353,Saignelégier,JU,fr
Goumois,2354,Saignelégier,JU,fr
Le Bémont JU,2360,Le Bémont (JU),JU,fr
Montfaucon,2362,Montfaucon,JU,fr
Montfavergier,2362,Montfaucon,JU,fr
Les Enfers,2363,Les Enfers,JU,fr
St-Brais,2364,Saint-Brais,JU,fr
Le Locle,2400,Le Locle,NE,fr
Le Locle,2400,Le Locle,NE,fr
Le Prévoux,2400,Le Locle,NE,fr
La Chaux-du-Milieu,2405,La Chaux-du-Milieu,NE,fr
La Brévine,2406,La Brévine,NE,fr
Les Taillères,2406,La Brévine,NE,fr
La Châtagne,2406,La Brévine,NE,fr
Le Brouillet,2406,La Brévine,NE,fr
Le Cerneux-Péquignot,2414,Le Cerneux-Péquignot,NE,fr
Les Brenets,2416,Les Brenets,NE,fr
Biel/Bienne,2502,Biel/Bienne,BE,de
Biel/Bienne,2503,Biel/Bienne,BE,de
Biel/Bienne,2504,Biel/Bienne,BE,de
Biel/Bienne,2505,Biel/Bienne,BE,de
Tüscherz-Alfermée,2512,Twann-Tüscherz,BE,de
Twann,2513,Twann-Tüscherz,BE,de
Ligerz,2514,Ligerz,BE,de
Prêles,2515,Plateau de Diesse,BE,fr
Lamboing,2516,Plateau de Diesse,BE,fr
Diesse,2517,Plateau de Diesse,BE,fr
Nods,2518,Nods,BE,fr
La Neuveville,2520,La Neuveville,BE,fr
Lignières,2523,Lignières,NE,fr
Le Landeron,2525,Le Landeron,NE,fr
Magglingen/Macolin,2532,Evilard,BE,fr
Evilard,2533,Evilard,BE,fr
Orvin,2534,Orvin,BE,fr
Les Prés-d'Orvin,2534,Orvin,BE,fr
Frinvillier,2535,Sauge,BE,fr
Plagne,2536,Sauge,BE,fr
Vauffelin,2537,Sauge,BE,fr
Romont BE,2538,Romont (BE),BE,fr
Grenchen,2540,Grenchen,SO,de
Pieterlen,2542,Pieterlen,BE,de
Lengnau BE,2543,Lengnau (BE),BE,de
Bettlach,2544,Bettlach,SO,de
Selzach,2545,Selzach,SO,de
Orpund,2552,Orpund,BE,de
Safnern,2553,Safnern,BE,de
Meinisberg,2554,Meinisberg,BE,de
Brügg BE,2555,Brügg,BE,de
Scheuren,2556,Scheuren,BE,de
Schwadernau,2556,Schwadernau,BE,de
Studen BE,2557,Studen (BE),BE,de
Aegerten,2558,Aegerten,BE,de
Nidau,2560,Nidau,BE,de
Port,2562,Port,BE,de
Ipsach,2563,Ipsach,BE,de
Bellmund,2564,Bellmund,BE,de
Jens,2565,Jens,BE,de
Mörigen,2572,Mörigen,BE,de
Sutz,2572,Sutz-Lattrigen,BE,de
Hagneck,2575,Hagneck,BE,de
Täuffelen,2575,Täuffelen,BE,de
Gerolfingen,2575,Täuffelen,BE,de
Lüscherz,2576,Lüscherz,BE,de
Finsterhennen,2577,Finsterhennen,BE,de
Siselen,2577,Siselen,BE,de
Péry,2603,Péry-La Heutte,BE,fr
La Heutte,2604,Péry-La Heutte,BE,fr
Sonceboz-Sombeval,2605,Sonceboz-Sombeval,BE,fr
Corgémont,2606,Corgémont,BE,fr
Cortébert,2607,Cortébert,BE,fr
Montagne-de-Courtelary,2608,Cortébert,BE,fr
Courtelary,2608,Courtelary,BE,fr
Mont-Crosin,2610,Cormoret,BE,fr
St-Imier,2610,Saint-Imier,BE,fr
Mont-Soleil,2610,Saint-Imier,BE,fr
Les Pontins,2610,Saint-Imier,BE,fr
Cormoret,2612,Cormoret,BE,fr
Villeret,2613,Villeret,BE,fr
Sonvilier,2615,Sonvilier,BE,fr
Montagne-de-Sonvilier,2615,Sonvilier,BE,fr
Renan BE,2616,Renan (BE),BE,fr
La Cibourg,2616,La Chaux-de-Fonds,NE,fr
Tavannes,2710,Tavannes,BE,fr
Le Fuet,2712,Saicourt,BE,fr
Bellelay,2713,Saicourt,BE,fr
Les Genevez JU,2714,Les Genevez (JU),JU,fr
Le Prédame,2714,Les Genevez (JU),JU,fr
Châtelat,2715,Petit-Val,BE,fr
Monible,2715,Petit-Val,BE,fr
Sornetan,2716,Petit-Val,BE,fr
Rebévelier,2717,Rebévelier,BE,fr
Fornet-Dessous,2717,Petit-Val,BE,fr
Lajoux JU,2718,Lajoux (JU),JU,fr
Fornet-Dessus,2718,Lajoux (JU),JU,fr
Tramelan,2720,Tramelan,BE,fr
La Tanne,2720,Tavannes,BE,fr
Les Reussilles,2722,Tramelan,BE,fr
Mont-Tramelan,2723,Mont-Tramelan,BE,fr
Loveresse,2732,Loveresse,BE,fr
Reconvilier,2732,Reconvilier,BE,fr
Saicourt,2732,Saicourt,BE,fr
Saules BE,2732,Saules (BE),BE,fr
Pontenet,2733,Valbirse,BE,fr
Champoz,2735,Champoz,BE,fr
Bévilard,2735,Valbirse,BE,fr
Malleray,2735,Valbirse,BE,fr
Sorvilier,2736,Sorvilier,BE,fr
Court,2738,Court,BE,fr
Moutier,2740,Moutier,BE,fr
Perrefitte,2742,Perrefitte,BE,fr
Eschert,2743,Eschert,BE,fr
Belprahon,2744,Belprahon,BE,fr
Grandval,2745,Grandval,BE,fr
Crémines,2746,Crémines,BE,fr
Corcelles BE,2747,Corcelles (BE),BE,fr
Seehof,2747,Seehof,BE,de
Souboz,2748,Petit-Val,BE,fr
Les Ecorcheresses,2748,Petit-Val,BE,fr
Roches BE,2762,Roches (BE),BE,fr
Delémont,2800,Delémont,JU,fr
Develier,2802,Develier,JU,fr
Bourrignon,2803,Bourrignon,JU,fr
Soyhières,2805,Soyhières,JU,fr
Mettembert,2806,Mettembert,JU,fr
Pleigne,2807,Pleigne,JU,fr
Lucelle,2807,Pleigne,JU,fr
Movelier,2812,Movelier,JU,fr
Ederswiler,2813,Ederswiler,JU,de
Roggenburg,2814,Roggenburg,BL,de
Courroux,2822,Courroux,JU,fr
Courcelon,2823,Courroux,JU,fr
Vicques,2824,Val Terbi,JU,fr
Courchapoix,2825,Courchapoix,JU,fr
Corban,2826,Val Terbi,JU,fr
Schelten,2827,Schelten,BE,de
Mervelier,2827,Mervelier,JU,fr
Montsevelier,2828,Val Terbi,JU,fr
Vermes,2829,Val Terbi,JU,fr
Courrendlin,2830,Courrendlin,JU,fr
Vellerat,2830,Courrendlin,JU,fr
Rebeuvelier,2832,Courrendlin,JU,fr
Rossemaison,2842,Rossemaison,JU,fr
Châtillon JU,2843,Châtillon (JU),JU,fr
Courtételle,2852,Courtételle,JU,fr
Courfaivre,2853,Haute-Sorne,JU,fr
Bassecourt,2854,Haute-Sorne,JU,fr
Glovelier,2855,Haute-Sorne,JU,fr
Boécourt,2856,Boécourt,JU,fr
Montavon,2857,Boécourt,JU,fr
Undervelier,2863,Haute-Sorne,JU,fr
Soulce,2864,Haute-Sorne,JU,fr
Saulcy,2873,Saulcy,JU,fr
St-Ursanne,2882,Saint-Brais,JU,fr
St-Ursanne,2882,Clos du Doubs,JU,fr
Montmelon,2883,Clos du Doubs,JU,fr
Montenol,2884,Clos du Doubs,JU,fr
Epauvillers,2885,Clos du Doubs,JU,fr
Epiquerez,2886,Clos du Doubs,JU,fr
Soubey,2887,Soubey,JU,fr
Seleute,2888,Clos du Doubs,JU,fr
Ocourt,2889,Clos du Doubs,JU,fr
Porrentruy,2900,Porrentruy,JU,fr
Fontenais,2902,Fontenais,JU,fr
Villars-sur-Fontenais,2903,Fontenais,JU,fr
Bressaucourt,2904,Fontenais,JU,fr
Courtedoux,2905,Courtedoux,JU,fr
Chevenez,2906,Haute-Ajoie,JU,fr
Rocourt,2907,Haute-Ajoie,JU,fr
Grandfontaine,2908,Grandfontaine,JU,fr
Réclère,2912,Haute-Ajoie,JU,fr
Roche-d'Or,2912,Haute-Ajoie,JU,fr
Damvant,2914,Haute-Ajoie,JU,fr
Bure,2915,Bure,JU,fr
Fahy,2916,Fahy,JU,fr
Courchavon,2922,Courchavon,JU,fr
